Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1998,01,07,37,1,31,33538
1998,01,07,37,2,135,33538
1998,01,07,37,3,0,33538
1998,01,07,37,4,0,33538
1998,01,07,37,5,148,33538
1998,01,07,37,6,0,33538
1998,01,07,37,7,0,33538
1998,01,07,38,1,0,11238
1998,01,07,38,2,126,11238
1998,01,07,38,3,0,11238
1998,01,07,38,4,5,11238
1998,01,07,38,5,28,11238
1998,01,07,38,6,0,11238
1998,01,07,38,7,0,11238
1998,01,07,39,1,0,7119
1998,01,07,39,2,103,7119
1998,01,07,39,3,0,7119
1998,01,07,39,4,5,7119
1998,01,07,39,5,60,7119
1998,01,07,39,6,0,7119
1998,01,07,39,7,0,7119
1998,01,07,40,1,5,5214
1998,01,07,40,2,16,5214
1998,01,07,40,3,0,5214
1998,01,07,40,4,0,5214
1998,01,07,40,5,27,5214
1998,01,07,40,6,0,5214
1998,01,07,40,7,0,5214
1998,01,07,41,1,0,5459
1998,01,07,41,2,127,5459
1998,01,07,41,3,0,5459
1998,01,07,41,4,0,5459
1998,01,07,41,5,47,5459
1998,01,07,41,6,0,5459
1998,01,07,41,7,0,5459
1998,01,07,42,1,0,448
1998,01,07,42,2,0,448
1998,01,07,42,3,0,448
1998,01,07,42,4,0,448
1998,01,07,42,5,1,448
1998,01,07,42,6,0,448
1998,01,07,42,7,0,448
1998,01,07,43,1,5,26247
1998,01,07,43,2,80,26247
1998,01,07,43,3,0,26247
1998,01,07,43,4,0,26247
1998,01,07,43,5,129,26247
1998,01,07,43,6,0,26247
1998,01,07,43,7,0,26247
1998,01,08,44,1,16,24629
1998,01,08,44,2,216,24629
1998,01,08,44,3,0,24629
1998,01,08,44,4,0,24629
1998,01,08,44,5,114,24629
1998,01,08,44,6,0,24629
1998,01,08,44,7,0,24629
1998,01,08,45,1,34,23883
1998,01,08,45,2,153,23883
1998,01,08,45,3,0,23883
1998,01,08,45,4,5,23883
1998,01,08,45,5,122,23883
1998,01,08,45,6,0,23883
1998,01,08,45,7,0,23883
1998,01,08,46,1,0,14624
1998,01,08,46,2,172,14624
1998,01,08,46,3,0,14624
1998,01,08,46,4,0,14624
1998,01,08,46,5,82,14624
1998,01,08,46,6,0,14624
1998,01,08,46,7,0,14624
1998,01,08,47,1,0,2301
1998,01,08,47,2,18,2301
1998,01,08,47,3,0,2301
1998,01,08,47,4,0,2301
1998,01,08,47,5,9,2301
1998,01,08,47,6,0,2301
1998,01,08,47,7,0,2301
1998,01,08,48,1,22,16858
1998,01,08,48,2,85,16858
1998,01,08,48,3,0,16858
1998,01,08,48,4,0,16858
1998,01,08,48,5,79,16858
1998,01,08,48,6,0,16858
1998,01,08,48,7,0,16858
1998,01,08,49,1,11,8620
1998,01,08,49,2,5,8620
1998,01,08,49,3,0,8620
1998,01,08,49,4,0,8620
1998,01,08,49,5,45,8620
