Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1998,01,06,32,2,3207
1998,01,06,32,3,4820
1998,01,06,32,4,4887
1998,01,06,32,5,4868
1998,01,06,32,6,4201
1998,01,06,32,7,3947
1998,01,06,32,8,5037
1998,01,07,33,1,1768
1998,01,07,33,2,2297
1998,01,07,33,3,3620
1998,01,07,33,4,3714
1998,01,07,33,5,3352
1998,01,07,33,6,3070
1998,01,07,33,7,3336
1998,01,07,33,8,3429
1998,01,07,34,1,653
1998,01,07,34,2,947
1998,01,07,34,3,1388
1998,01,07,34,4,1373
1998,01,07,34,5,1142
1998,01,07,34,6,1120
1998,01,07,34,7,1161
1998,01,07,34,8,1134
1998,01,07,35,1,2385
1998,01,07,35,2,3207
1998,01,07,35,3,5251
1998,01,07,35,4,4968
1998,01,07,35,5,4496
1998,01,07,35,6,4357
1998,01,07,35,7,4672
1998,01,07,35,8,4719
1998,01,07,36,1,728
1998,01,07,36,2,1157
1998,01,07,36,3,1739
1998,01,07,36,4,1303
1998,01,07,36,5,1450
1998,01,07,36,6,1409
1998,01,07,36,7,1014
1998,01,07,36,8,888
1998,01,07,37,1,2491
1998,01,07,37,2,3781
1998,01,07,37,3,6474
1998,01,07,37,4,4714
1998,01,07,37,5,4113
1998,01,07,37,6,4772
1998,01,07,37,7,4136
1998,01,07,37,8,2823
1998,01,07,38,1,799
1998,01,07,38,2,1223
1998,01,07,38,3,2093
1998,01,07,38,4,1589
1998,01,07,38,5,1439
1998,01,07,38,6,1566
1998,01,07,38,7,1431
1998,01,07,38,8,1042
1998,01,07,39,1,482
1998,01,07,39,2,678
1998,01,07,39,3,1220
1998,01,07,39,4,990
1998,01,07,39,5,756
1998,01,07,39,6,928
1998,01,07,39,7,1295
1998,01,07,39,8,698
1998,01,07,40,1,225
1998,01,07,40,2,197
1998,01,07,40,3,662
1998,01,07,40,4,818
1998,01,07,40,5,316
1998,01,07,40,6,562
1998,01,07,40,7,1165
1998,01,07,40,8,1175
1998,01,07,41,1,493
1998,01,07,41,2,570
1998,01,07,41,3,956
1998,01,07,41,4,983
1998,01,07,41,5,746
1998,01,07,41,6,776
1998,01,07,41,7,541
1998,01,07,41,8,306
1998,01,07,42,1,20
1998,01,07,42,2,5
1998,01,07,42,3,59
1998,01,07,42,4,70
1998,01,07,42,5,18
1998,01,07,42,6,30
1998,01,07,42,7,69
1998,01,07,42,8,46
1998,01,07,43,1,1712
1998,01,07,43,2,2602
1998,01,07,43,3,4478
1998,01,07,43,4,3634
1998,01,07,43,5,3204
1998,01,07,43,6,3528
1998,01,07,43,7,3617
1998,01,07,43,8,3207
1998,01,08,44,1,1670
1998,01,08,44,2,2479
1998,01,08,44,3,3726
1998,01,08,44,4,3640
1998,01,08,44,5,3239
1998,01,08,44,6,3111
1998,01,08,44,7,3393
1998,01,08,44,8,3175
1998,01,08,45,1,1517
1998,01,08,45,2,2188
1998,01,08,45,3,4228
1998,01,08,45,4,3405
1998,01,08,45,5,2634
1998,01,08,45,6,3324
1998,01,08,45,7,3792
1998,01,08,45,8,2584
1998,01,08,46,1,840
1998,01,08,46,2,967
1998,01,08,46,3,2046
1998,01,08,46,4,2212
1998,01,08,46,5,1172
1998,01,08,46,6,1215
1998,01,08,46,7,3137
1998,01,08,46,8,2855
1998,01,08,47,1,193
1998,01,08,47,2,267
1998,01,08,47,3,373
1998,01,08,47,4,343
1998,01,08,47,5,228
1998,01,08,47,6,213
1998,01,08,47,7,349
1998,01,08,47,8,311
1998,01,08,48,1,1029
1998,01,08,48,2,1657
1998,01,08,48,3,3027
1998,01,08,48,4,2276
1998,01,08,48,5,1975
1998,01,08,48,6,2388
1998,01,08,48,7,2527
1998,01,08,48,8,1866
1998,01,08,49,1,629
1998,01,08,49,2,1339
1998,01,08,49,3,1574
1998,01,08,49,4,1088
