Data_Referencia,Seccio_Censal,Poblacio
1998,2113,1847
1998,2114,1665
1998,2115,1293
1998,2116,776
1998,2117,1236
1998,2118,1377
1998,2119,1420
1998,2120,1220
1998,2121,1147
1998,2122,1098
1998,2123,1008
1998,2124,1113
1998,2125,1566
1998,2126,1467
1998,2127,957
1998,2128,1142
1998,2129,1612
1998,2130,1202
1998,2131,1043
1998,2132,1153
1998,2133,1021
1998,2134,1490
1998,2135,1967
1998,2136,883
1998,2137,1268
1998,2138,1810
1998,2139,1403
1998,2140,1867
1998,2141,1113
1998,2142,1782
1998,2143,1213
1998,2144,1397
1998,2145,1054
1998,2146,1053
1998,2147,1889
1998,2148,1479
1998,2149,1594
1998,2150,1241
1998,2151,1254
1998,2152,1290
1998,2153,1376
1998,2154,986
1998,2155,1980
1998,2156,1370
1998,2157,1069
1998,2158,1654
1998,2159,1692
1998,2160,1787
1998,2161,955
1998,2162,1252
1998,2163,1688
1998,2164,1382
1998,2165,1512
1998,2166,1890
1998,2167,2081
1998,2168,1921
1998,2169,1413
1998,2170,1468
1998,2171,1623
1998,2172,1474
1998,2173,1446
1998,3001,1603
1998,3002,1673
1998,3003,1365
1998,3004,1455
1998,3005,1160
1998,3006,1159
1998,3007,1382
1998,3008,1061
1998,3009,1057
1998,3010,1341
1998,3011,1342
1998,3012,1898
1998,3013,1562
1998,3014,1502
1998,3015,2554
1998,3016,859
1998,3017,1318
1998,3018,1464
1998,3019,1255
1998,3020,1262
1998,3021,1080
1998,3022,1209
1998,3023,1428
1998,3024,1808
1998,3025,1747
1998,3026,1232
1998,3027,1273
1998,3028,164
1998,3029,1057
1998,3030,1815
1998,3031,2622
1998,3032,1026
1998,3033,1423
1998,3034,1560
1998,3035,2478
1998,3036,1453
1998,3037,1020
1998,3038,1109
1998,3039,2559
1998,3040,1465
1998,3041,1253
1998,3042,1266
1998,3043,1451
1998,3044,1502
1998,3045,848
1998,3046,1312
1998,3047,1712
1998,3048,1308
1998,3049,1601
1998,3050,1504
1998,3051,1554
1998,3052,1133
1998,3053,1802
1998,3054,1681
1998,3055,1388
1998,3056,907
1998,3057,1522
1998,3058,845
1998,3059,1191
1998,3060,1355
1998,3061,1178
1998,3062,1583
1998,3063,1150
1998,3064,1089
1998,3065,1301
1998,3066,1858
1998,3067,1803
1998,3068,1197
1998,3069,1173
1998,3070,1394
1998,3071,1274
1998,3072,1359
1998,3073,1530
1998,3074,1546
1998,3075,1554
1998,3076,1110
1998,3077,1292
1998,3078,1569
1998,3079,1571
1998,3080,1562
1998,3081,1887
1998,3082,1680
1998,3083,1409
1998,3084,1511
1998,3085,1175
1998,3086,1481
1998,3087,1518
1998,3088,1489
1998,3089,1303
1998,3090,903
1998,3091,1268
1998,3092,985
1998,3093,1455
1998,3094,1085
1998,3095,1469
1998,3096,1395
1998,3097,1372
1998,3098,1237
1998,3099,966
1998,3100,1114
1998,3101,1283
1998,3102,1212
1998,3103,1375
1998,3104,1198
1998,3105,1045
1998,3106,1077
1998,3107,1502
1998,3108,1388
1998,3109,1277
1998,3110,1399
1998,3111,1206
1998,3112,1780
1998,3113,1579
1998,3114,1402
1998,3211,1325
1998,3212,2560
1998,3213,2135
1998,4001,1133
1998,4002,1688
1998,4003,1061
1998,4004,999
1998,4005,1283
1998,4006,1179
1998,4007,1033
1998,4008,1044
1998,4009,1312
1998,4010,809
1998,4011,1782
1998,4012,1658
1998,4013,1203
1998,4014,645
1998,4015,1830
1998,4016,1163
1998,4017,1239
1998,4018,1385
1998,4019,1304
1998,4020,1333
1998,4021,1335
1998,4022,1553
1998,4023,919
1998,4024,1025
1998,4025,1091
1998,4026,1273
1998,4027,1227
1998,4028,1403
1998,4029,1224
1998,4030,1795
1998,4031,1454
1998,4032,1686
1998,4033,1225
1998,4034,1761
1998,4035,1536
1998,4036,1835
1998,4037,2182
1998,4038,1398
1998,4039,868
1998,4040,1550
1998,4041,1176
1998,4042,1842
1998,4043,1824
1998,4044,1606
1998,4045,1348
1998,4046,2773
1998,4047,1820
1998,4048,1494
1998,4049,1028
1998,4050,1963
1998,4051,1697
1998,4052,2122
1998,4053,1260
1998,4054,1097
1998,4055,1532
1998,4056,1335
1998,4084,1442
1998,5001,992
1998,5002,1172
1998,5003,898
1998,5004,681
1998,5005,882
1998,5006,1262
1998,5007,1280
1998,5008,1337
1998,5009,1453
1998,5010,1421
1998,5011,1266
1998,5012,1320
1998,5013,1565
1998,5014,1314
1998,5015,1084
1998,5016,1699
1998,5017,1339
1998,5018,1245
1998,5019,1525
1998,5020,955
1998,5021,107
1998,5022,1492
